comment,hotel_name,source
If 2 people in a room 2 towels would seem appropriate!,Travelodge Gatwick Airport Central,agoda
"Clean and spacious room and reasonable good breakfast provided.

Free Wifi for only miserable 30 mins! Had to pay around 8 pounds per 24 hours parking but cannot find a lot after midnight! Reception wanted to charge me 10 pounds to check in 1 hour early so preferred to wait even though room was available!",Travelodge Gatwick Airport Central,agoda
"The receptionist was very rude for us and she was rushing and did not listen to our requests.
When I asked about water she told us to look around for water filters.
When I asked about shuttle Services she just gave me shuttle schedule to read it.
Those are fine, not offensive but very rude and mean.
They should show hospitality to everyone equally, not according to other appearances",Travelodge Gatwick Airport Central,agoda
"Very clean, very comfortable and food in the restaurant exceeded expectations, the only complaint was that after 25 minutes i had to hunt down my dessert. 
Would definitely stay there again, perfect for an early flight and just £3 on the regular shuttle.",Travelodge Gatwick Airport Central,agoda
"Watch out for parking costs, not included in nightly rate.",Travelodge Gatwick Airport Central,agoda
Good location with a regular shuttle bus running to both terminals,Travelodge Gatwick Airport Central,agoda
"On my 1st night while working at the desk in my room my i was bitten a multitude of times by fleas.  
I did complain the next day and was moved immediately but the staff did not appear to be shocked!",Travelodge Gatwick Airport Central,agoda
"Great value for money. Booked a family room, a king bed and two twin beds. No fridge or hair drier.  Food was ok, decently priced.  Watch for kids menu and breakfast for free.",Travelodge Gatwick Airport Central,agoda
Occupied. No soap in the shower. Won’t be back,Travelodge Gatwick Airport Central,agoda
Nice Hotel - Not sure I like the trend toward charging for all the extras like parking etc but I guess that is the way the budget hotels and companies seem to be going. Overall a very clean and well decorated hotel,Travelodge Gatwick Airport Central,agoda
"The price of a family room was very good for the time of year. One double bed and 2 singles in the family room. Room size was big- could easily accommodate another couple of single beds. Basic room- no fridge,  iron/ironing board, no hairdryer even- basically nothing that was not stapled down. I assume you could get a hairdryer if you needed one. Cafe/bar was large and food was tasty enough for dinner with meal deals making it quite affordable. Breakfast was standard and covered hot and cold buffet food for 9pounds per adult with 2 children (15 and under) per adult, free, which made it good value for breakfast. Convenient airport shuttle from Bay 8 at North terminal. ",Travelodge Gatwick Airport Central,agoda
"Ideal for airport stopover. Used shuttle bus to airport which was fine, took about 20min. Not sure how it is when busy. I was 5.15 am. ",Travelodge Gatwick Airport Central,agoda
很接近机场。新酒店。,Travelodge Gatwick Airport Central,agoda
"Very satisfied for my stay in Travelodge! Fast check in and check out, good customer service, very nice buffet breakfast, big and comfortable bed.Overall it's pleasant experience to stay at Travelodge! ",Travelodge Gatwick Airport Central,agoda
"They could not find my booking! Check in took over 30 min!
Answer: ""it takes as long as it takes"" not a very forthcoming statement!!",Travelodge Gatwick Airport Central,agoda
"Renovation of hotel rooms and supporting facilities has raised the bar. Can be a little noisy as customers leave or arrive from the airport.

Despite this I would say good value for money.",Travelodge Gatwick Airport Central,agoda
"Free wifi only for 30 minutes what was not mentioned during reservation
  
",Travelodge Gatwick Airport Central,agoda
"The problem I had was the inability to make contact with the outside world The hotel has no telephones - none in the rooms, no public phone !!!  I had to borrow a cellphone from the receptionist to make a (local only) call. Fortunately I have a contact in the UK. But for a hotel at a major airport, this failure  is amazing !! Like all ex-pat travellers I need to contact home  - I was not in England for pleasure and regular communications are vital. 

We are all supposed to use the Internet these days and I did bring my tablet computer but unfortunately the hotel's wi-fi was too feeble to get a connection. 

This is not the first of similar complaints I have had about other UK hotels. British hoteliers would do well to understand that not everyone in the world lives in the UK. A hotel near to an international airport should have worked out by now that we ex-pats and foreigners use airport hotels but we need to call telephones in overseas countries.",Travelodge Gatwick Airport Central,agoda
Shuttle services right on spot; super friendly staff and great food!! Really enjoyed my stay!!,Travelodge Gatwick Airport Central,agoda
We stayed on a long layover on Gatwick. We were greeted by friendly accommodating staff pretty late in the night. The room was clean and the hotel and shuttle were convenient to Gatwick.,Travelodge Gatwick Airport Central,agoda
"There was mold growing on the drain in the bathtub, and the room smelled very bad. ",Travelodge Gatwick Airport Central,agoda
"The experience was incredible, nice atmosphere, delicious  food and lovely staff.",Travelodge Gatwick Airport Central,agoda
"It’s clean and staff is lovely. However, the temperature of the room was difficult to control since the front desk controls the main.  Windows don’t open and our room was too hot!! On both occasions we’ve stayed, the water was only slightly above lukewarm. Other than the room & water temperatures, it was a comfortable stay and good value. ",Travelodge Gatwick Airport Central,agoda
This place was quite ok. I didn’t realise when I booked it that I would have to get the bus there from the N terminal. Once you find the bus stop it is ok. Good breakfast.,Travelodge Gatwick Airport Central,agoda
"Came in to eat breakfast ( paid for it ), but was met with big suspicions - they thought I am from the street or maybe homeless and came to steal their English breakfast? One of the lead chef's asked me if I was finished when I just started breakfast, very rude. ",Travelodge Gatwick Airport Central,agoda
"Excellent stay. Extremely helpful team, good facilities, clean decent sized rooms.",Travelodge Gatwick Airport Central,agoda
"Not even a tissue or a glass available in room, however tea/coffee making is. Location is great for airport and check-in/out very quick and easy. ",Travelodge Gatwick Airport Central,agoda
"Very close to Gatwick airport for a one night stay before an early international flight & an airport bus picking up every 10 minutes. 
Beautifully clean and very friendly staff. ",Travelodge Gatwick Airport Central,agoda
"Staff helpful, accommodating. Nice that hotel staff encouraged cafe staff to talk to visitors I was told.",Travelodge Gatwick Airport Central,agoda
"Really great for an airport hotel. The room was clean, the mattress was very comfortable. The shower had great pressure, water could have been a bit hotter. The only drawback was that it’s low on amenities. There was no hair dryer, no phone in the room so no wake up call (in case the iPhone messed up the alarm). Wish it had it been a pod coffee maker instead of an older plastic kettle. But really, for the price it was very decent. Hotel shuttle was convenient although the shuttle signage at the airport is confusing with regards to this particular hotel. The shuttle also costs £3.",Travelodge Gatwick Airport Central,agoda
"In a good location but would need a taxi or take the shuttle bus  (free). Room was clean, beds awesome!  I would stay here again!",Travelodge Gatwick Airport Central,agoda
The location was perfect as it was .4 miles from the terminal. There is a shuttle that runs from the terminal to the hotel but costs 3 pounds each way.  The room was comfortable and bathroom was clean.  The staff was friendly and I will recommend and stay here again.,Travelodge Gatwick Airport Central,agoda
rooms was clean - stayed one night .Breakfast was terrible ,Travelodge Gatwick Airport Central,agoda
"It’s not far from airport, but can’t walk. You need to take hotel bus at stop 9. Shuttle bus will service every 15 mins. It cost you 3 pound per trip. Will drop you or pick up you at hotel front door. 
Hotel facility is good , bed is new and comfortable. But bathroom and cup a little dirty. Rest is very good ",Travelodge Gatwick Airport Central,agoda
"Pros - good shuttle service to the gatwick airport only 3 pounds 
Good breakfast 

Cons - No Phone in the Room, so to contact customer service you have to come  down from the 5th floor room
Less Towels
Soap in box the system is not good , wash basin soap was empty 
",Travelodge Gatwick Airport Central,agoda
"Clean, safe, basic and close to the airport.  Reasonable lounge for food and drinks. Counter staff less than helpful when checking in.  Had booking number but company that booked mispelled name - still not sure with booking number why would lead to such a delay in checking in (40 minutes).",Travelodge Gatwick Airport Central,agoda
Easy access to Gatwick. Clean. Flexible staff.,Travelodge Gatwick Airport Central,agoda
"Who want only sleep over night and morning has another flight, is this good location. By bus only 3-4 minutes. ",Travelodge Gatwick Airport Central,agoda
"I stayed here for an evening while waiting for a flight.  The room was large, clean and equipped.  The on site restaurant/bar had a good selection of drinks and the food was good. This isn't The Ritz, but for the price, I would stay here again.",Travelodge Gatwick Airport Central,agoda
Over an hour to order  and get  our 2 burgers.....very noisy....,Travelodge Gatwick Airport Central,agoda
"£3 shuttle bus to airport, 15mnts",Travelodge Gatwick Airport Central,agoda
"I was disappointed that the shuttle bus cost £3 per person per trip. A taxi would have been cheaper. Driver was grumpy in the evening and same driver in the morning was still grumpy. We were not informed in advance. 
Towels had a very unpleasant odour ",Travelodge Gatwick Airport Central,agoda
"Close to airport, very basic but rooms clean. Bar and restaurant and bar on site 15-20 walk into small town centre.",Travelodge Gatwick Airport Central,agoda
"The reception staff gave me a warm welcome on my arrival at 01.00 hrs and the checking in procedure was quick and efficient. They and another member of staff were extremely helpful in directing me to my room on the 6th floor, including opening doors to help me go through with my holiday suitcase.  The morning receptionist was similarly helpful in ordering me a taxi. My room was very clean and well furnished but some of the facilities were out of order - I could only the shower would only",Travelodge Gatwick Airport Central,agoda
Good hotel but no free WiFi and rooms very stuffy as no windows to open ,Travelodge Gatwick Airport Central,agoda
The hotel was very clean staff where very friendly only down fall was paying for parking 16 pound a night is slightly expensive ,Travelodge Gatwick Airport Central,agoda
"The room was exceptionally clean, and set up as a twin room, as we requested. It was a very good choice before an early morning flight the next day, and great value for money. ",Travelodge Gatwick Airport Central,agoda
Convenient location. Clean room and beds. Excellent breakfast. Everything you can ask for over night stay. ,Travelodge Gatwick Airport Central,agoda
"This hotel was dreadful! When we opened the door to enter our room we thought we had been given the wrong room and they were obviously planning to renovate it. The room had a bed and a chair ....... That's all. There was a tv on the wall but it was impossible to change channels as the remote didn't work. There was no soap, shampoo or any toiletries at all. The towels were so thin they were soaked before you were dry, the shower was difficult to turn on. There was no phone, no hairdryer and no stand to put the case on. After addressing these to the reception staff  who were very unhelpful I asked if I could have a stand to put my case on I was very rudely told, what's wrong with the floor, use that !! Alfie the person I spoke to at re epsilon was particularly rude and unhelpful as were the bar staff. I will never ever stay at another Travelodge after this experience",Travelodge Gatwick Airport Central,agoda
Comfortable and convenient.,Travelodge Gatwick Airport Central,agoda
"The staff were nice and friendly. Very basic room. Only had a bed and a small desk, no other furniture. Not warm and welcoming. The bed was very comfortable though. We went to the restaurant for dinner and were told the food would be an hour wait, so we went next door to another hotel and had a delicious fish &  chips dinner in their lounge.",Travelodge Gatwick Airport Central,agoda
no probs,Travelodge Gatwick Airport Central,agoda
"I booked this hotel for an overnight staying due to the early flight departure. I arrived in the night at 22 PM, the hotel is 5 minutes with a bus (3 £ fee each way) from the Gatwick North Terminal.
Check in process was pretty straight forward. My room, however, was not properly insulated and I could hear the conversation of other guests outside. Furthermore, and more annoying,  there was a constant noise like some water leak from the floor above, which disturbed me all night long, not allowing to have a good sleep. Furthermore, and the reason of my main disappointment, was the breakfast. I have booked this hotel because I wanted to have a proper hot English breakfast before leaving, paying an additional booking fee (around 8.5 £) to get it included in the room rate, while in the morning it turned out that for some unknown kitchen problem,  it was not available, so I was forced to skip it and I was not even be asked if I would like to be refund for it since it was not provided.",Travelodge Gatwick Airport Central,agoda
Easy access to Gatwick Airport and all you need for a 1 night stay if you have a late night flight in (as we did) or early morning flight. Breakfast was simple but filled pur bellies before our road trip that day.,Travelodge Gatwick Airport Central,agoda
"Everything else was very good but it was a bit disappointing that the Wifi only allowed 30 minutes free access. After that it was £3 for 24 hours.

Also had to pay for parking but I suppose that’s pretty standard.

The staff were friendly and helpful and there was a kettle in the room for tea and coffee which I always appreciate.  ",Travelodge Gatwick Airport Central,agoda
"I arrived very late to the hotel and also had a very early morning flight. The check-in process was so simple and easy. The receptionist was kind and professional. I received my room key card very fast. So I was able to go to my room and go to bed right away.

My room was comfortable and the bed was so clean and firm. The pillows were so clean and fresh. 

The soap dispenser in the bathroom was broken. That was the only issue. 

So for the price and location these are great reasons to stay in the hotel. ",Travelodge Gatwick Airport Central,agoda
There is blood stain on the bedsheet & hairs on the toilet bowl. It is because we are checked in late and checked out early therefore we did not request to change room. ,Travelodge Gatwick Airport Central,agoda
Convenient from the airport. Simple. Has bar / cafe ,Travelodge Gatwick Airport Central,agoda
"It’s close to the airport, and has a bed, unfortunately the iron they provided was dangerous to say the least but this was rectified quickly.",Travelodge Gatwick Airport Central,agoda
"Good, clean, reasonably priced hotel for a Gatwick stopover",Travelodge Gatwick Airport Central,agoda
"Value for money,,, especially when you are in transit or catch morning flight but looking for cheap but good quality hotel! ",Travelodge Gatwick Airport Central,agoda
"The hotel is just two bus stops away from Gatwick North terminal but there isn't much else around the area. The room was very clean and spacious but I didn't know check-in time was 3pm so I had to wait at the bar for 3 hours. Also, wifi is only free for 30mins every 24 hours. I paid for 24hours of wifi then it stopped working after just 2 hours and for the rest of my stay, which was very annoying because I couldn't get work done. Their staff just said there was nothing they could do but wait, so I guess they don't have any in house tech support. They also didn't offer to give me a refund on the wifi. It's a nice place if you don't need wifi for work, or just staying for a short period of time like I did.",Travelodge Gatwick Airport Central,agoda
For that price i expect the basics necessity to be working fine. The heater panel doesnt work and it on and off by itself throughout. The staff says that they can control it from their side i don't know how but the heater just turn on and off by itself. ,Travelodge Gatwick Airport Central,agoda
"This hotel is furnished in the style of a hostel rather than a pleasurable place to relax and unwind. Facilities were fine, the room and the hotel in general were clean, it's close to the airport and, like several hotels in the area is served by several shuttle buses to and from the north and south terminals at Gatwick. The room I had was quite large and the bathroom had a deep bath. The bed was fine although the polyester in the sheets was noticeable. However the dinner I had was the most awful I've had in years. I ordered the steak and ale pie, peas and mash. The pie was contained one small piece of meat and two slices of mushroom and was encased in quarter inch thick pastry which was completely sodden by the internal gravy as well as the additional gravy on top. The mashed potatoes were dry and hard on the edges and bottom, as if left over from lunch and reheated on the plate, and there were less than a quarter of a cup of peas. The sticky toffee pudding was enjoyable.",Travelodge Gatwick Airport Central,agoda
Parking very expensive. Checked into the room had not been cleaned and we had to change rooms. Bar area very untidy. Rubbish and food on the floor  tables piled with food plates and dirty glasses. Website said recent million pound update. When was that?,Travelodge Gatwick Airport Central,agoda
"Compared with the travel lodge I used to use some years ago, this was not the same standard.  The room and bathroom were not very clean.   The room itself was very comfortable and spacious.
",Travelodge Gatwick Airport Central,agoda
Great place to stay. Staff very friendly. However in order to get there from the airport you must use shuttle  (3£ cash) or cab (6£) even if it’s in a walking distance and you could see it from the airport. There is simply no direct walk path.  Don’t use Uber because they over charge at Gatwic (17£),Travelodge Gatwick Airport Central,agoda
"We had a flight in the morning so we chose to stay here and there was a bus in front of the hotel to the airport all day all night.

Quick checked-in and big room with a reasonable price
",Travelodge Gatwick Airport Central,agoda
"I had to walk 50 mins to get to this hotel because the shuttle requires 4GBP in cash, which of course I didn't have. I watched the shuttle drive off empty from the airport to the hotel... what a ridiculous waste, the hotel should just have a free shuttle. And you only get 30 mins of free wifi before you have to pay for that as well... absurd.",Travelodge Gatwick Airport Central,agoda
Close to airport and staff very helpful,Travelodge Gatwick Airport Central,agoda
Check out how much a taxi  costs to the airport costs before you book  Why is there apparently no shuttle bus ?,Travelodge Gatwick Airport Central,agoda
We enjoyed our stay; had a great stay and would recommend without reservation.,Travelodge Gatwick Airport Central,agoda
"Pros -everything was fine
Cons , very small cleaning issues with the room,more time needed to clean properly I recommend!
Staff were excellent especially in the circumstances with the Covid Virus to deal with.
Recomend hand sanitizer  stations should be available around all parts of hotel.
9/10,  well-done to all.
",Travelodge Gatwick Airport Central,agoda
A short taxi or bus ride from Gatwick airport. Efficient and friendly staff throughout.,Travelodge Gatwick Airport Central,agoda
"Good nights stay for an early morning flight. Room clean and tide, good shower, breakfast was great.

All round top-hole.

The only niggle, and nothing to do with the hotel is the bus transfer to the terminals. £4 per person, so, 2 people £8, or if you go by taxi £6 for two.",Travelodge Gatwick Airport Central,agoda
"The staff were very nice, helpful however, for the price, some help with luggage for an older person would be welcome. Also only 30mins free wifi and then have to pay online rather than option to pay cash at recption. Ist, for the price and as all international hotels, Wifi could be expected to be free, even 1 hour for contact with eg relatives and there was no way I would use my card online, so I didn't bother. Staff were very kind and let me use their phone at no charge to let my 97yo friend I was to visit that I had arrived in the country and the time I would see her next day, as O had no UK phone card yet.",Travelodge Gatwick Airport Central,agoda
"The hotel is not directly at the airport so a shuttle is required. Room was clean and comfortable but very simple- no hair drier, tissues or fridge. 
Staff were absolutely amazing. ",Travelodge Gatwick Airport Central,agoda
"Rooms are nice and spacious, very clean , breakfast was great , definitely would stay again ",Travelodge Gatwick Airport Central,agoda
